tag,dataset,lang,n_pairs,gallery_size,n_galleries,mean_diag_cos,median_diag_cos,p10_diag_cos,p90_diag_cos,i2t_r@1,i2t_r@5,i2t_r@10,t2i_r@1,t2i_r@5,t2i_r@10,source_dir
mc2_e0,bloom,ceb,2951,2951,1,0.11954464763402939,0.12006755918264389,0.055953312665224075,0.18124663829803467,0.00304981367662549,0.008810572326183319,0.01219925470650196,0.005083022639155388,0.01050491351634264,0.015926804393529892,mc2_e0
mc2_e0,bloom,fil,558,558,1,0.10423488914966583,0.1022007018327713,0.03451574221253395,0.1796877384185791,0.0197132620960474,0.044802866876125336,0.05734767019748688,0.017921147868037224,0.032258063554763794,0.04301075264811516,mc2_e0
mc2_e0,bloom,id,2169,2169,1,0.10320297628641129,0.10326295346021652,0.04045366123318672,0.1647014617919922,0.0009220839128829539,0.006454587448388338,0.007837713696062565,0.0009220839128829539,0.003227293724194169,0.00968188140541315,mc2_e0
mc2_e0,bloom,km,308,308,1,0.03693766891956329,0.03793959692120552,-0.00936009269207716,0.08278389275074005,0.003246753243729472,0.022727273404598236,0.0357142873108387,0.003246753243729472,0.012987012974917889,0.012987012974917889,mc2_e0
mc2_e0,bloom,ms,102,102,1,0.11639438569545746,0.10866108536720276,0.04735180735588074,0.2010166049003601,0.009803921915590763,0.009803921915590763,0.05882352963089943,0.019607843831181526,0.03921568766236305,0.0784313753247261,mc2_e0
mc2_e0,bloom,my,419,419,1,0.04734071344137192,0.050687674432992935,-0.004329988267272711,0.09504927694797516,0.00238663493655622,0.016706444323062897,0.021479712799191475,0.00238663493655622,0.00954653974622488,0.016706444323062897,mc2_e0
mc2_e0,bloom,th,3009,3009,1,0.026255734264850616,0.024820297956466675,-0.010401010513305664,0.06491480767726898,0.00033233631984330714,0.0023263543844223022,0.004320372361689806,0.00033233631984330714,0.0019940179772675037,0.003655699547380209,mc2_e0
mc2_e0,bloom,vi,22,22,1,0.05038687214255333,0.043656088411808014,0.011792543344199657,0.10994970053434372,0.09090909361839294,0.1818181872367859,0.3181818127632141,0.09090909361839294,0.27272728085517883,0.4545454680919647,mc2_e0
mc2_e0,cgoe,id,223098,10000,5,0.09952398389577866,0.09855253994464874,0.010556134395301342,0.1890822798013687,0.003560000052675605,0.011480000056326389,0.016839999705553055,0.0016999999526888133,0.005719999969005585,0.009520000033080577,mc2_e0
mc2_e0,cgoe,jv,39747,10000,5,0.12433171272277832,0.12207766622304916,0.04197249934077263,0.2116278111934662,0.004440000001341105,0.013499999977648258,0.021579999849200247,0.0019800000358372928,0.006039999984204769,0.009500000067055226,mc2_e0
